annotation_id,comparison_id,fsfairx_score_a,fsfairx_score_b,score_gap_abs,diverging_score
SV1_0001,ed5b32fe0f0b48e5817afdd6bf42b597,-2.28125,-0.84765625,1.43359375,-1.43359375
SV1_0002,f1a9c47d744a4e9baf60f6c443cc4a37,-6.34375,-1.7890625,4.5546875,-4.5546875
SV1_0003,d79570bebf3045c3a2a300712c47a51f,-1.46875,-2.125,0.65625,-0.65625
SV1_0004,24f63f0c147549d095a181cd5b823ff9,-6.71875,-0.50390625,6.21484375,-6.21484375
SV1_0005,70bfc7928b684497bbf491318f009011,-3.5,-1.3125,2.1875,-2.1875
SV1_0006,aba120a264464859a1978bcaf88b4410,-1.2109375,0.25,1.4609375,-1.4609375
SV1_0007,586e1d080f844adf88b1082b8065d51b,-10.1875,-9.0,1.1875,-1.1875
SV1_0008,903108c635c94e32a42c30459f9fc3db,-0.412109375,1.328125,1.740234375,-1.740234375
SV1_0009,0d134c4614a546708b21ed6e46f16f26,-3.03125,0.283203125,3.314453125,-3.314453125
SV1_0010,5dc2271c8b3e49cd8f17ae56eaa6bd47,-4.8125,-8.1875,3.375,-3.375
SV1_0011,97d04f49f44b4676b0078756deb5c8b2,-4.9375,-0.2158203125,4.7216796875,-4.7216796875
SV1_0012,a690637cba32476388a04f97f9dd7476,1.4921875,-5.40625,6.8984375,-6.8984375
SV1_0013,752eb8688b6145e9904f063cdae3efa7,-3.96875,1.2109375,5.1796875,-5.1796875
SV1_0014,6e853ff977b547558003fcd92b85307e,-7.9375,-8.0,0.0625,-0.0625
SV1_0015,cb0f60a34b5341c6b4c58dc9db9f1937,-2.796875,-1.4921875,1.3046875,-1.3046875
SV1_0016,a02cfc19add84676a69b23d2be3f5041,-2.890625,-0.400390625,2.490234375,-2.490234375
SV1_0017,e29cf1bf283b41c4add03785dad3b3eb,0.52734375,-0.62109375,1.1484375,-1.1484375
SV1_0018,88fd8711b9c249ff83ee081687fc0eb4,-2.890625,-1.1015625,1.7890625,-1.7890625
SV1_0019,8bc665a628f9442787bc5110aea5b700,-6.71875,-3.5,3.21875,-3.21875
SV1_0020,e7d9b317559844cb989edb3b3b5239ee,-2.21875,-1.453125,0.765625,-0.765625
SV1_0021,f16d4746f0cf4271af8163299d42d749,-1.5234375,-0.1220703125,1.4013671875,-1.4013671875
SV1_0022,76b7dc525b694f1ea00adaacdb0e9dda,-2.125,-0.76953125,1.35546875,-1.35546875
SV1_0023,82a5e4e7b66148e884f160aefe6d4291,-1.9453125,-2.234375,0.2890625,-0.2890625
SV1_0024,7cb83e63b0234a3d986ab151bb01b694,-5.46875,-4.5625,0.90625,-0.90625
SV1_0025,b1657646cd214a168f6d3dd6cdabbaac,-2.359375,-3.234375,0.875,-0.875
SV1_0026,597dca31cfa448ff93d2ddfd192e4052,-4.4375,-3.484375,0.953125,-0.953125
SV1_0027,a5ce90208a444088936092e8fcb9293a,-1.3203125,0.1767578125,1.4970703125,-1.4970703125
SV1_0028,9f4b0d4fbdff441dbad4b7aaf539c5c9,-6.5,-3.296875,3.203125,-3.203125
SV1_0029,3958e2ffc68d490695df341007faa9ab,-7.15625,-5.375,1.78125,-1.78125
SV1_0030,63ba9eb11c2b4a5590c049b2972c2060,-0.5,-2.0625,1.5625,-1.5625
SV1_0031,4f48248ba9af4c81a3db285da98fd355,-2.15625,0.3828125,2.5390625,-2.5390625
SV1_0032,32ab634051a24902bad71d9cdcb01a14,-3.1875,2.125,5.3125,-5.3125
SV1_0033,6b23fccb35cb432fa485e35c7e34d896,-9.1875,-5.15625,4.03125,-4.03125
SV1_0034,e5a91a68e6004af5a05883e9c8f073f6,-5.78125,-0.92578125,4.85546875,-4.85546875
SV1_0035,90b3602039114964be508a1b126ff307,-2.25,-1.8984375,0.3515625,-0.3515625
SV1_0036,771eb1f7b6c54fd7889447f9a6786eb6,-2.890625,-3.015625,0.125,-0.125
SV1_0037,1e924f9789a24029b8119e534267ccae,-6.875,-2.3125,4.5625,-4.5625
SV1_0038,88bb8e4e149d4a568f6c4fdc48eed793,-8.5,-0.353515625,8.146484375,-8.146484375
SV1_0039,c021978630514ff5bd47a50d32b4d122,-2.71875,-2.59375,0.125,-0.125
SV1_0040,59ff00edd37f42a1bfd32d0247385fef,-3.96875,-1.765625,2.203125,-2.203125
SV1_0041,072eb8e42c334118bdf06b64cf498e90,-7.28125,-4.4375,2.84375,-2.84375
SV1_0042,e54f59addc64489bba3131ef8ee15fdd,-7.375,-8.9375,1.5625,-1.5625
SV1_0043,ba4f2950d9504bc3ae60ac7d7eee9aec,-4.9375,2.484375,7.421875,-7.421875
SV1_0044,e0a73e85c3c948c4a35ff2be74b7c916,-2.625,-5.3125,2.6875,-2.6875
SV1_0045,f3cb2a8c53814dae918340ad0f513f7f,-4.34375,-3.21875,1.125,-1.125
SV1_0046,9165ece836054f509863b499e4e87ab4,-4.40625,2.1875,6.59375,-6.59375
SV1_0047,d273ca7ae3fe4354aaa74763888b793f,-0.18359375,0.375,0.55859375,-0.55859375
SV1_0048,c2f2ec3543d8495083f90d27c9bb7d0a,-1.328125,-2.71875,1.390625,-1.390625
SV1_0049,c7610e8384d944518f188e729696dc6c,-4.65625,-7.125,2.46875,-2.46875
SV1_0050,9fdef97c8063496a8fcedf27ed86d352,-6.3125,-8.5,2.1875,-2.1875
SV1_0051,968f221a7059402eb21de1736518fc9d,-2.828125,1.828125,4.65625,-4.65625
SV1_0052,0ceaaf73aced4d55a73e2bc578822064,-8.3125,-4.9375,3.375,-3.375
SV1_0053,09e8a91009fa4da6b8641d6db7ad3b71,-3.609375,1.8828125,5.4921875,-5.4921875
SV1_0054,350736ba1b384e95a6eb3f777c9757a5,-5.1875,-7.21875,2.03125,-2.03125
SV1_0055,4a23f1aafa4648f0b392fba8ca6bd667,-0.6796875,2.96875,3.6484375,-3.6484375
SV1_0056,13e9c6201a4d4f9f87971e21c84c1e1e,-2.1875,0.85546875,3.04296875,-3.04296875
SV1_0057,a8221fae0ca04c818f981207650e7547,-6.0625,-7.625,1.5625,-1.5625
SV1_0058,c7df61c09b6d42adaab0715cfccad89c,-5.25,-3.1875,2.0625,-2.0625
SV1_0059,20d705c7e9e24867a68a4d9bc771f56c,-4.5,-1.7265625,2.7734375,-2.7734375
SV1_0060,e14c126fe6864eb3b3eed9134114dc75,-3.09375,3.75,6.84375,-6.84375
SV1_0061,34cb51c82f3e4d89a460ba5c33cedfac,-9.3125,0.00701904296875,9.31951904296875,-9.31951904296875
SV1_0062,3d99d0c8ccee424e94cbfcefa6462c68,-2.859375,-4.65625,1.796875,-1.796875
SV1_0063,e6fb6980c9494e3d895f025c143accca,-10.5625,-4.15625,6.40625,-6.40625
SV1_0064,04c597d8dbd24517a49d671c0eb5e7f9,-4.03125,1.9765625,6.0078125,-6.0078125
SV1_0065,6b0f84cd78024785aeed703e72d9f497,-2.8125,-2.3125,0.5,-0.5
SV1_0066,9cf116dcc4b04ad1b037e34da8bb81dc,-5.53125,-4.53125,1.0,-1.0
SV1_0067,e7cfc4431ebf4954b700bc4854363a8a,-2.609375,5.96875,8.578125,-8.578125
SV1_0068,6050bb44f552412cad599e3d3de1ca2d,-6.21875,-3.109375,3.109375,-3.109375
SV1_0069,16117d07bc0748ed96cf837c54fa6d95,-0.89453125,-2.078125,1.18359375,-1.18359375
SV1_0070,38a43ca3d3f84d328242fa3ff1714c82,-3.5,1.203125,4.703125,-4.703125
SV1_0071,2e13354427e94b0d9f3b6170d869a4b5,-2.15625,4.3125,6.46875,-6.46875
SV1_0072,e24e06faeb984a7fbc54257e4d68bc00,-9.5,-10.25,0.75,-0.75
SV1_0073,9a2e841c12eb46d39c4f893b28c4a021,-2.78125,-4.0625,1.28125,-1.28125
SV1_0074,499a906fca9e4415b18bb7f9c47deb41,-6.0625,-3.53125,2.53125,-2.53125
SV1_0075,1668661c8ebc4004be4057cf26c0b68b,-0.59375,-2.234375,1.640625,-1.640625
