sampling_stratum,model,n_total,n_diverging,n_high_agreement,category_auroc,raw_gap_auroc_sanity_check,auroc_complement_error,mean_abs_gap_diverging,median_abs_gap_diverging,mean_abs_gap_high_agreement,median_abs_gap_high_agreement,mean_gap_difference_diverging_minus_high,positive_class,predictor,category_auroc_rank_within_model
Open QA,Skywork-Reward-Llama-3.1-8B-v0.2,80,40,40,0.73687499999999995,0.263125,0,7.2303573608398439,4.453857421875,15.209906005859375,11.7373046875,-7.9795486450195314,diverging_id_label == 1,-abs(score_a - score_b),1
Open QA,FsfairX-LLaMA3-RM-v0.1,80,40,40,0.75875000000000004,0.24125000000000002,0,2.3040985107421874,1.8125,4.3614990234375002,4.6796875,-2.0574005126953128,diverging_id_label == 1,-abs(score_a - score_b),1
Generation,Skywork-Reward-Llama-3.1-8B-v0.2,70,35,35,0.56000000000000005,0.44,0,5.8057617187500004,5.130859375,7.7996791294642858,4.8212890625,-1.9939174107142854,diverging_id_label == 1,-abs(score_a - score_b),4
Generation,FsfairX-LLaMA3-RM-v0.1,70,35,35,0.56408163265306122,0.43591836734693878,0,2.2342494419642858,1.740234375,2.8050833565848214,2.375,-0.57083391462053568,diverging_id_label == 1,-abs(score_a - score_b),4
Coding,Skywork-Reward-Llama-3.1-8B-v0.2,70,35,35,0.53714285714285714,0.4628571428571428,0,9.8068516322544639,6.8203125,11.310630580357143,7.9453125,-1.5037789481026795,diverging_id_label == 1,-abs(score_a - score_b),5
Coding,FsfairX-LLaMA3-RM-v0.1,70,35,35,0.66857142857142848,0.33142857142857141,1.1102230246251565e-16,2.2044189453124998,1.5625,3.6449218750000001,2.8515625,-1.4405029296875003,diverging_id_label == 1,-abs(score_a - score_b),3
Chat,Skywork-Reward-Llama-3.1-8B-v0.2,70,35,35,0.53714285714285714,0.46285714285714286,0,5.4205793108258931,4.453125,6.3756452287946432,6.0562744140625,-0.95506591796875018,diverging_id_label == 1,-abs(score_a - score_b),5
Chat,FsfairX-LLaMA3-RM-v0.1,70,35,35,0.55591836734693878,0.44408163265306122,0,2.3724330357142858,2.53125,2.7413504464285716,2.265625,-0.36891741071428585,diverging_id_label == 1,-abs(score_a - score_b),5
Brainstorm,Skywork-Reward-Llama-3.1-8B-v0.2,70,35,35,0.64816326530612234,0.35183673469387755,1.1102230246251565e-16,8.2141950334821434,4.60205078125,10.508673967633928,7.94140625,-2.2944789341517851,diverging_id_label == 1,-abs(score_a - score_b),2
Brainstorm,FsfairX-LLaMA3-RM-v0.1,70,35,35,0.70489795918367348,0.29510204081632657,0,2.9285993303571427,2.25,4.7309709821428569,4.75,-1.8023716517857142,diverging_id_label == 1,-abs(score_a - score_b),2
Closed QA,Skywork-Reward-Llama-3.1-8B-v0.2,40,20,20,0.57999999999999996,0.41999999999999998,0,8.5250976562500007,5.4169921875,12.774096679687499,7.0478515625,-4.2489990234374986,diverging_id_label == 1,-abs(score_a - score_b),3
Closed QA,FsfairX-LLaMA3-RM-v0.1,40,20,20,0.42250000000000004,0.5774999999999999,0,2.6432617187499998,1.89453125,2.5703125,1.357421875,0.072949218749999822,diverging_id_label == 1,-abs(score_a - score_b),6
