annotation_id,comparison_id,sampling_stratum,diverging_id_label
SV1_0001,ed5b32fe0f0b48e5817afdd6bf42b597,Coding,0
SV1_0002,f1a9c47d744a4e9baf60f6c443cc4a37,Chat,0
SV1_0003,d79570bebf3045c3a2a300712c47a51f,Open QA,1
SV1_0004,24f63f0c147549d095a181cd5b823ff9,Coding,0
SV1_0005,70bfc7928b684497bbf491318f009011,Generation,1
SV1_0006,aba120a264464859a1978bcaf88b4410,Generation,1
SV1_0007,586e1d080f844adf88b1082b8065d51b,Brainstorm,0
SV1_0008,903108c635c94e32a42c30459f9fc3db,Generation,1
SV1_0009,0d134c4614a546708b21ed6e46f16f26,Chat,0
SV1_0010,5dc2271c8b3e49cd8f17ae56eaa6bd47,Generation,0
SV1_0011,97d04f49f44b4676b0078756deb5c8b2,Open QA,1
SV1_0012,a690637cba32476388a04f97f9dd7476,Closed QA,1
SV1_0013,752eb8688b6145e9904f063cdae3efa7,Open QA,0
SV1_0014,6e853ff977b547558003fcd92b85307e,Open QA,0
SV1_0015,cb0f60a34b5341c6b4c58dc9db9f1937,Generation,0
SV1_0016,a02cfc19add84676a69b23d2be3f5041,Open QA,0
SV1_0017,e29cf1bf283b41c4add03785dad3b3eb,Chat,0
SV1_0018,88fd8711b9c249ff83ee081687fc0eb4,Closed QA,1
SV1_0019,8bc665a628f9442787bc5110aea5b700,Chat,1
SV1_0020,e7d9b317559844cb989edb3b3b5239ee,Closed QA,0
SV1_0021,f16d4746f0cf4271af8163299d42d749,Open QA,0
SV1_0022,76b7dc525b694f1ea00adaacdb0e9dda,Open QA,1
SV1_0023,82a5e4e7b66148e884f160aefe6d4291,Closed QA,0
SV1_0024,7cb83e63b0234a3d986ab151bb01b694,Chat,0
SV1_0025,b1657646cd214a168f6d3dd6cdabbaac,Open QA,1
SV1_0026,597dca31cfa448ff93d2ddfd192e4052,Closed QA,0
SV1_0027,a5ce90208a444088936092e8fcb9293a,Generation,1
SV1_0028,9f4b0d4fbdff441dbad4b7aaf539c5c9,Chat,1
SV1_0029,3958e2ffc68d490695df341007faa9ab,Chat,0
SV1_0030,63ba9eb11c2b4a5590c049b2972c2060,Generation,1
SV1_0031,4f48248ba9af4c81a3db285da98fd355,Closed QA,0
SV1_0032,32ab634051a24902bad71d9cdcb01a14,Coding,0
SV1_0033,6b23fccb35cb432fa485e35c7e34d896,Chat,0
SV1_0034,e5a91a68e6004af5a05883e9c8f073f6,Open QA,0
SV1_0035,90b3602039114964be508a1b126ff307,Chat,1
SV1_0036,771eb1f7b6c54fd7889447f9a6786eb6,Generation,0
SV1_0037,1e924f9789a24029b8119e534267ccae,Generation,1
SV1_0038,88bb8e4e149d4a568f6c4fdc48eed793,Brainstorm,0
SV1_0039,c021978630514ff5bd47a50d32b4d122,Coding,1
SV1_0040,59ff00edd37f42a1bfd32d0247385fef,Generation,0
SV1_0041,072eb8e42c334118bdf06b64cf498e90,Closed QA,0
SV1_0042,e54f59addc64489bba3131ef8ee15fdd,Open QA,0
SV1_0043,ba4f2950d9504bc3ae60ac7d7eee9aec,Open QA,0
SV1_0044,e0a73e85c3c948c4a35ff2be74b7c916,Open QA,1
SV1_0045,f3cb2a8c53814dae918340ad0f513f7f,Generation,1
SV1_0046,9165ece836054f509863b499e4e87ab4,Closed QA,0
SV1_0047,d273ca7ae3fe4354aaa74763888b793f,Generation,0
SV1_0048,c2f2ec3543d8495083f90d27c9bb7d0a,Coding,1
SV1_0049,c7610e8384d944518f188e729696dc6c,Open QA,1
SV1_0050,9fdef97c8063496a8fcedf27ed86d352,Coding,1
SV1_0051,968f221a7059402eb21de1736518fc9d,Open QA,0
SV1_0052,0ceaaf73aced4d55a73e2bc578822064,Brainstorm,1
SV1_0053,09e8a91009fa4da6b8641d6db7ad3b71,Brainstorm,0
SV1_0054,350736ba1b384e95a6eb3f777c9757a5,Open QA,0
SV1_0055,4a23f1aafa4648f0b392fba8ca6bd667,Closed QA,1
SV1_0056,13e9c6201a4d4f9f87971e21c84c1e1e,Open QA,1
SV1_0057,a8221fae0ca04c818f981207650e7547,Chat,1
SV1_0058,c7df61c09b6d42adaab0715cfccad89c,Coding,1
SV1_0059,20d705c7e9e24867a68a4d9bc771f56c,Open QA,1
SV1_0060,e14c126fe6864eb3b3eed9134114dc75,Coding,1
SV1_0061,34cb51c82f3e4d89a460ba5c33cedfac,Generation,0
SV1_0062,3d99d0c8ccee424e94cbfcefa6462c68,Brainstorm,1
SV1_0063,e6fb6980c9494e3d895f025c143accca,Chat,0
SV1_0064,04c597d8dbd24517a49d671c0eb5e7f9,Open QA,0
SV1_0065,6b0f84cd78024785aeed703e72d9f497,Generation,1
SV1_0066,9cf116dcc4b04ad1b037e34da8bb81dc,Open QA,1
SV1_0067,e7cfc4431ebf4954b700bc4854363a8a,Brainstorm,0
SV1_0068,6050bb44f552412cad599e3d3de1ca2d,Chat,0
SV1_0069,16117d07bc0748ed96cf837c54fa6d95,Closed QA,0
SV1_0070,38a43ca3d3f84d328242fa3ff1714c82,Open QA,0
SV1_0071,2e13354427e94b0d9f3b6170d869a4b5,Brainstorm,1
SV1_0072,e24e06faeb984a7fbc54257e4d68bc00,Generation,0
