scope_type,scope_value,model,n_total_scope,n_human_strict_majority,n_human_no_strict_majority,n_model_ties_among_strict_majority,n_non_tied_model_predictions,n_correct,preference_accuracy_primary,preference_accuracy_excluding_model_ties,primary_denominator_rule,sensitivity_denominator_rule
overall,Overall,Skywork-Reward-Llama-3.1-8B-v0.2,400,344,56,0,344,242,0.70348837209302328,0.70348837209302328,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
overall,Overall,FsfairX-LLaMA3-RM-v0.1,400,344,56,0,344,269,0.78197674418604646,0.78197674418604646,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
disagreement_class,Diverging,Skywork-Reward-Llama-3.1-8B-v0.2,200,144,56,0,144,85,0.59027777777777779,0.59027777777777779,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
disagreement_class,Diverging,FsfairX-LLaMA3-RM-v0.1,200,144,56,0,144,95,0.65972222222222221,0.65972222222222221,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
disagreement_class,High-agreement,Skywork-Reward-Llama-3.1-8B-v0.2,200,200,0,0,200,157,0.78500000000000003,0.78500000000000003,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
disagreement_class,High-agreement,FsfairX-LLaMA3-RM-v0.1,200,200,0,0,200,174,0.87,0.87,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Open QA,Skywork-Reward-Llama-3.1-8B-v0.2,80,71,9,0,71,57,0.80281690140845074,0.80281690140845074,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Open QA,FsfairX-LLaMA3-RM-v0.1,80,71,9,0,71,61,0.85915492957746475,0.85915492957746475,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Generation,Skywork-Reward-Llama-3.1-8B-v0.2,70,61,9,0,61,42,0.68852459016393441,0.68852459016393441,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Generation,FsfairX-LLaMA3-RM-v0.1,70,61,9,0,61,47,0.77049180327868849,0.77049180327868849,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Coding,Skywork-Reward-Llama-3.1-8B-v0.2,70,57,13,0,57,40,0.70175438596491224,0.70175438596491224,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Coding,FsfairX-LLaMA3-RM-v0.1,70,57,13,0,57,45,0.78947368421052633,0.78947368421052633,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Chat,Skywork-Reward-Llama-3.1-8B-v0.2,70,61,9,0,61,41,0.67213114754098358,0.67213114754098358,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Chat,FsfairX-LLaMA3-RM-v0.1,70,61,9,0,61,48,0.78688524590163933,0.78688524590163933,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Brainstorm,Skywork-Reward-Llama-3.1-8B-v0.2,70,60,10,0,60,43,0.71666666666666667,0.71666666666666667,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Brainstorm,FsfairX-LLaMA3-RM-v0.1,70,60,10,0,60,49,0.81666666666666665,0.81666666666666665,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Closed QA,Skywork-Reward-Llama-3.1-8B-v0.2,40,34,6,0,34,19,0.55882352941176472,0.55882352941176472,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
sampling_stratum,Closed QA,FsfairX-LLaMA3-RM-v0.1,40,34,6,0,34,19,0.55882352941176472,0.55882352941176472,human strict-majority rows; model ties incorrect,human strict-majority rows; model ties excluded
