annotation_id,comparison_id,task_scenario,disagreement_source_1,disagreement_source_2,disagreement_source_3,annotation_status,skywork_score_a,skywork_score_b,skywork_score_gap_abs,skywork_diverging_score,fsfairx_score_a,fsfairx_score_b,fsfairx_score_gap_abs,fsfairx_diverging_score
SV1_0001,ed5b32fe0f0b48e5817afdd6bf42b597,technical_or_coding,clear_quality_difference,,,completed,6.609375,15.0546875,8.4453125,-8.4453125,-2.28125,-0.84765625,1.43359375,-1.43359375
SV1_0002,f1a9c47d744a4e9baf60f6c443cc4a37,brainstorming_or_planning,task_ambiguity,verbosity_or_concision,,completed,-6.92578125,-0.62109375,6.3046875,-6.3046875,-6.34375,-1.7890625,4.5546875,-4.5546875
SV1_0003,d79570bebf3045c3a2a300712c47a51f,general_advice_or_chat,verbosity_or_concision,,,completed,-3.05859375,-5.1640625,2.10546875,-2.10546875,-1.46875,-2.125,0.65625,-0.65625
SV1_0004,24f63f0c147549d095a181cd5b823ff9,technical_or_coding,clear_quality_difference,,,completed,-17.234375,11.0234375,28.2578125,-28.2578125,-6.71875,-0.50390625,6.21484375,-6.21484375
SV1_0005,70bfc7928b684497bbf491318f009011,writing_or_creative,clear_quality_difference,,,completed,-10.75,-1.9912109375,8.7587890625,-8.7587890625,-3.5,-1.3125,2.1875,-2.1875
SV1_0006,aba120a264464859a1978bcaf88b4410,brainstorming_or_planning,value_or_subjective_preference,verbosity_or_concision,,completed,3.484375,8.7109375,5.2265625,-5.2265625,-1.2109375,0.25,1.4609375,-1.4609375
SV1_0007,586e1d080f844adf88b1082b8065d51b,brainstorming_or_planning,instruction_following,task_ambiguity,,completed,-16.15625,-8.6953125,7.4609375,-7.4609375,-10.1875,-9,1.1875,-1.1875
SV1_0008,903108c635c94e32a42c30459f9fc3db,writing_or_creative,task_ambiguity,format_or_style,,completed,-7.3359375,-4.421875,2.9140625,-2.9140625,-0.412109375,1.328125,1.740234375,-1.740234375
SV1_0009,0d134c4614a546708b21ed6e46f16f26,general_advice_or_chat,verbosity_or_concision,format_or_style,,completed,8.9609375,15.1640625,6.203125,-6.203125,-3.03125,0.283203125,3.314453125,-3.314453125
SV1_0010,5dc2271c8b3e49cd8f17ae56eaa6bd47,writing_or_creative,refusal_strategy,factuality,,completed,-19.140625,-23.265625,4.125,-4.125,-4.8125,-8.1875,3.375,-3.375
SV1_0011,97d04f49f44b4676b0078756deb5c8b2,factual_qa,verbosity_or_concision,,,completed,-1.962890625,7.109375,9.072265625,-9.072265625,-4.9375,-0.2158203125,4.7216796875,-4.7216796875
SV1_0012,a690637cba32476388a04f97f9dd7476,reasoning_or_math,clear_quality_difference,task_ambiguity,,completed,16.171875,-13.484375,29.65625,-29.65625,1.4921875,-5.40625,6.8984375,-6.8984375
SV1_0013,752eb8688b6145e9904f063cdae3efa7,factual_qa,verbosity_or_concision,expertise_or_complexity,,completed,0.92626953125,7.9609375,7.03466796875,-7.03466796875,-3.96875,1.2109375,5.1796875,-5.1796875
SV1_0014,6e853ff977b547558003fcd92b85307e,safety_or_sensitive,refusal_strategy,,,completed,-10.484375,-9.78125,0.703125,-0.703125,-7.9375,-8,0.0625,-0.0625
SV1_0015,cb0f60a34b5341c6b4c58dc9db9f1937,writing_or_creative,value_or_subjective_preference,format_or_style,,completed,-4.890625,-2.46875,2.421875,-2.421875,-2.796875,-1.4921875,1.3046875,-1.3046875
SV1_0016,a02cfc19add84676a69b23d2be3f5041,factual_qa,task_ambiguity,expertise_or_complexity,,completed,-6.84765625,1.787109375,8.634765625,-8.634765625,-2.890625,-0.400390625,2.490234375,-2.490234375
SV1_0017,e29cf1bf283b41c4add03785dad3b3eb,writing_or_creative,task_ambiguity,format_or_style,verbosity_or_concision,completed,4,6.1484375,2.1484375,-2.1484375,0.52734375,-0.62109375,1.1484375,-1.1484375
SV1_0018,88fd8711b9c249ff83ee081687fc0eb4,factual_qa,,,,completed,-7.2890625,-2.361328125,4.927734375,-4.927734375,-2.890625,-1.1015625,1.7890625,-1.7890625
SV1_0019,8bc665a628f9442787bc5110aea5b700,safety_or_sensitive,expertise_or_complexity,verbosity_or_concision,,completed,-8.734375,-3.375,5.359375,-5.359375,-6.71875,-3.5,3.21875,-3.21875
SV1_0020,e7d9b317559844cb989edb3b3b5239ee,reasoning_or_math,verbosity_or_concision,format_or_style,,completed,-6.4765625,-1.1513671875,5.3251953125,-5.3251953125,-2.21875,-1.453125,0.765625,-0.765625
SV1_0021,f16d4746f0cf4271af8163299d42d749,factual_qa,verbosity_or_concision,,,completed,2.654296875,3.61328125,0.958984375,-0.958984375,-1.5234375,-0.1220703125,1.4013671875,-1.4013671875
SV1_0022,76b7dc525b694f1ea00adaacdb0e9dda,factual_qa,factuality,expertise_or_complexity,,completed,3.353515625,4.65625,1.302734375,-1.302734375,-2.125,-0.76953125,1.35546875,-1.35546875
SV1_0023,82a5e4e7b66148e884f160aefe6d4291,reasoning_or_math,clear_quality_difference,,,completed,-3.1953125,5.66015625,8.85546875,-8.85546875,-1.9453125,-2.234375,0.2890625,-0.2890625
SV1_0024,7cb83e63b0234a3d986ab151bb01b694,general_advice_or_chat,verbosity_or_concision,,,completed,-7.75390625,-8.40625,0.65234375,-0.65234375,-5.46875,-4.5625,0.90625,-0.90625
SV1_0025,b1657646cd214a168f6d3dd6cdabbaac,factual_qa,task_ambiguity,factuality,,completed,-2.2265625,-8.609375,6.3828125,-6.3828125,-2.359375,-3.234375,0.875,-0.875
SV1_0026,597dca31cfa448ff93d2ddfd192e4052,reasoning_or_math,clear_quality_difference,,,completed,3.603515625,0.30615234375,3.29736328125,-3.29736328125,-4.4375,-3.484375,0.953125,-0.953125
SV1_0027,a5ce90208a444088936092e8fcb9293a,writing_or_creative,value_or_subjective_preference,format_or_style,,completed,-2.46484375,2.666015625,5.130859375,-5.130859375,-1.3203125,0.1767578125,1.4970703125,-1.4970703125
SV1_0028,9f4b0d4fbdff441dbad4b7aaf539c5c9,safety_or_sensitive,verbosity_or_concision,expertise_or_complexity,,completed,2.078125,1.57421875,0.50390625,-0.50390625,-6.5,-3.296875,3.203125,-3.203125
SV1_0029,3958e2ffc68d490695df341007faa9ab,general_advice_or_chat,verbosity_or_concision,expertise_or_complexity,,completed,-8.34375,-3.447265625,4.896484375,-4.896484375,-7.15625,-5.375,1.78125,-1.78125
SV1_0030,63ba9eb11c2b4a5590c049b2972c2060,writing_or_creative,verbosity_or_concision,format_or_style,,completed,1.2958984375,8.1640625,6.8681640625,-6.8681640625,-0.5,-2.0625,1.5625,-1.5625
SV1_0031,4f48248ba9af4c81a3db285da98fd355,reasoning_or_math,expertise_or_complexity,verbosity_or_concision,,completed,-3.1953125,23.28125,26.4765625,-26.4765625,-2.15625,0.3828125,2.5390625,-2.5390625
SV1_0032,32ab634051a24902bad71d9cdcb01a14,technical_or_coding,task_ambiguity,,,completed,-8.578125,11.4296875,20.0078125,-20.0078125,-3.1875,2.125,5.3125,-5.3125
SV1_0033,6b23fccb35cb432fa485e35c7e34d896,safety_or_sensitive,verbosity_or_concision,format_or_style,,completed,-6.328125,3.248046875,9.576171875,-9.576171875,-9.1875,-5.15625,4.03125,-4.03125
