case_type,broad_reason_label,count
diverging_with_large_reward_gap,verbosity_detail_concision,4
diverging_with_large_reward_gap,technical_medical_complexity,2
diverging_with_large_reward_gap,other,1
diverging_with_large_reward_gap,safety_refusal_redirection,1
diverging_with_large_reward_gap,sensitive_topic_framing,1
diverging_with_large_reward_gap,task_ambiguity,1
high_confidence_preference_error,verbosity_detail_concision,4
high_confidence_preference_error,safety_refusal_redirection,3
high_confidence_preference_error,factuality_instruction_accuracy,1
high_confidence_preference_error,task_ambiguity,1
high_confidence_preference_error,technical_medical_complexity,1
