grouping_variable,source_column,group_value,multi_label_grouping,model,n_total,n_diverging,n_high_agreement,subgroup_auroc,status,positive_class,predictor,exploratory,multiple_comparison_adjusted
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,clear_quality_difference,True,Skywork-Reward-Llama-3.1-8B-v0.2,32,6,26,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,clear_quality_difference,True,FsfairX-LLaMA3-RM-v0.1,32,6,26,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,expertise_or_complexity,True,Skywork-Reward-Llama-3.1-8B-v0.2,52,23,29,0.63568215892053981,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,expertise_or_complexity,True,FsfairX-LLaMA3-RM-v0.1,52,23,29,0.71139430284857574,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,factuality,True,Skywork-Reward-Llama-3.1-8B-v0.2,109,58,51,0.65500338066260988,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,factuality,True,FsfairX-LLaMA3-RM-v0.1,109,58,51,0.70182555780933065,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,format_or_style,True,Skywork-Reward-Llama-3.1-8B-v0.2,70,38,32,0.52384868421052633,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,format_or_style,True,FsfairX-LLaMA3-RM-v0.1,70,38,32,0.62664473684210531,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,instruction_following,True,Skywork-Reward-Llama-3.1-8B-v0.2,58,21,37,0.56241956241956248,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,instruction_following,True,FsfairX-LLaMA3-RM-v0.1,58,21,37,0.60360360360360354,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,refusal_strategy,True,Skywork-Reward-Llama-3.1-8B-v0.2,63,31,32,0.60584677419354838,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,refusal_strategy,True,FsfairX-LLaMA3-RM-v0.1,63,31,32,0.54183467741935487,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,task_ambiguity,True,Skywork-Reward-Llama-3.1-8B-v0.2,36,18,18,0.67746913580246915,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
